cell_id,row,col,center_lon,center_lat,theta_rad,theta_deg,rho,R,X_center,Y_center,fixed_cell_side,four_vertex_area,four_vertex_signed_area,source_center_theta_rad,source_center_R,source_center_X,source_center_Y
47,6,3,115.5500000000,39.9500000000,3.5928746483,205.856554,0.9274122788,1.7883004370,-1.6092714252,-0.7799127726,0.1440666310,0.0207551942,0.0207551942,3.5916046781,1.7994410100,-1.6202920317,-0.7827143033
48,6,4,115.6499940000,39.9500000000,3.6442289606,208.798939,0.8295143748,1.7050872186,-1.4941945304,-0.8214043635,0.1381939145,0.0190975580,0.0190975580,3.6366468160,1.7392995713,-1.5304844473,-0.8263052433
49,6,5,115.7500000000,39.9500000000,3.6878597433,211.298799,0.7347514112,1.6245386995,-1.3881191314,-0.8439497991,0.1015340939,0.0103091722,0.0103091722,3.6907078947,1.6489864756,-1.4065634340,-0.8606600390
50,6,6,115.8500060000,39.9500000000,3.7510578817,214.919785,0.6378496636,1.5421722141,-1.2645106674,-0.8827841808,0.1468427966,0.0215628069,0.0215628069,3.7563553114,1.5365719919,-1.2552415798,-0.8862404090
51,6,7,115.9500000000,39.9500000000,3.8350697766,219.733312,0.5550112001,1.4717595201,-1.1318243377,-0.9407708295,0.1245125159,0.0155033666,0.0155033666,3.8369562503,1.4579935767,-1.1194778076,-0.9340849576
52,6,8,116.0500000000,39.9500000000,3.9357155788,225.499892,0.5008812498,1.4257490623,-0.9993226427,-1.0169142759,0.1474333853,0.0217366031,0.0217366031,3.9368004268,1.4186321191,-0.9932360262,-1.0129162282
53,6,9,116.1499940000,39.9500000000,4.0606163679,232.656180,0.4638951246,1.3943108559,-0.8457842277,-1.1084907772,0.1468386293,0.0215615831,0.0215615831,4.0608224372,1.3908789362,-0.8434745552,-1.1059362051
54,6,10,116.2500000000,39.9500000000,4.2112732149,241.288182,0.4706127579,1.4000208442,-0.6725761965,-1.2278842063,0.1646946996,0.0271243441,0.0271243441,4.2135765232,1.4156956038,-0.6772447580,-1.2431949084
55,6,11,116.3500060000,39.9500000000,4.3870137187,251.357371,0.4569318464,1.3883920694,-0.4438194906,-1.3155442973,0.1831468472,0.0335427676,0.0335427676,4.3964902937,1.4176416900,-0.4404198979,-1.3474933301
56,6,12,116.4500000000,39.9500000000,4.6070019555,263.961768,0.4422130757,1.3758811144,-0.1447317609,-1.3682476232,0.1755842963,0.0308298451,0.0308298451,4.6038647400,1.3504491640,-0.1462689607,-1.3425045012
57,6,13,116.5500000000,39.9500000000,4.8257505727,276.495141,0.4726727014,1.4017717962,0.1585669530,-1.3927744577,0.1946944408,0.0379059253,0.0379059253,4.8209132208,1.4355269680,0.1554838518,-1.4270817943
