cell_id_a,cell_id_b,in_original,in_final,status
120,121,1,1,preserved
120,134,0,1,new
120,135,1,1,preserved
120,136,0,1,new
121,122,1,1,preserved
121,136,1,1,preserved
121,137,0,1,new
122,123,1,1,preserved
122,137,1,1,preserved
122,138,0,1,new
123,124,1,1,preserved
123,138,1,1,preserved
123,139,0,1,new
124,125,1,1,preserved
124,139,1,1,preserved
125,126,1,0,lost
125,139,0,1,new
125,140,1,1,preserved
126,127,1,1,preserved
126,128,0,1,new
126,141,1,0,lost
126,142,0,1,new
127,128,1,0,lost
127,141,0,1,new
127,142,1,1,preserved
128,129,1,1,preserved
128,143,1,1,preserved
129,130,1,1,preserved
129,143,0,1,new
129,144,1,1,preserved
130,131,1,1,preserved
130,144,0,1,new
130,145,1,1,preserved
130,146,0,1,new
131,132,1,1,preserved
131,146,1,1,preserved
132,133,1,1,preserved
132,147,1,1,preserved
133,148,1,0,lost
133,161,0,1,new
134,135,1,1,preserved
135,136,1,1,preserved
135,149,0,1,new
136,137,1,1,preserved
136,150,0,1,new
137,138,1,1,preserved
137,149,1,0,lost
137,150,0,1,new
137,151,0,1,new
138,139,1,1,preserved
138,150,1,0,lost
138,151,0,1,new
138,165,0,1,new
139,140,1,1,preserved
139,151,1,0,lost
139,152,0,1,new
140,141,1,1,preserved
140,152,1,1,preserved
141,142,1,1,preserved
141,153,1,1,preserved
141,154,0,1,new
142,143,1,1,preserved
142,154,1,1,preserved
142,155,0,1,new
143,144,1,1,preserved
143,155,1,1,preserved
144,145,1,1,preserved
144,155,0,1,new
144,156,1,1,preserved
145,146,1,1,preserved
145,156,0,1,new
145,157,1,1,preserved
146,147,1,1,preserved
146,158,1,1,preserved
147,148,1,1,preserved
147,158,0,1,new
147,159,1,1,preserved
147,160,0,1,new
147,161,0,1,new
148,159,0,1,new
148,160,1,1,preserved
149,150,1,1,preserved
149,162,0,1,new
150,151,1,1,preserved
150,162,1,1,preserved
150,163,0,1,new
151,152,1,0,lost
151,163,1,1,preserved
151,164,0,1,new
152,153,1,1,preserved
152,164,1,0,lost
152,165,0,1,new
153,154,1,1,preserved
153,165,1,1,preserved
154,155,1,1,preserved
154,166,1,1,preserved
155,156,1,1,preserved
155,166,0,1,new
155,167,1,1,preserved
156,157,1,1,preserved
156,167,0,1,new
156,168,1,1,preserved
157,158,1,1,preserved
157,159,0,1,new
157,168,0,1,new
158,159,1,1,preserved
159,160,1,0,lost
159,172,0,1,new
160,161,1,1,preserved
162,163,1,1,preserved
162,173,0,1,new
163,164,1,1,preserved
163,169,0,1,new
164,165,1,1,preserved
164,167,0,1,new
164,169,1,1,preserved
164,170,0,1,new
165,166,1,1,preserved
165,170,1,0,lost
166,167,1,1,preserved
166,171,1,0,lost
167,168,1,1,preserved
167,171,0,1,new
167,172,1,0,lost
168,171,0,1,new
168,172,0,1,new
169,170,1,1,preserved
169,173,1,1,preserved
170,171,1,1,preserved
170,174,1,1,preserved
171,172,1,1,preserved
171,175,1,1,preserved
171,176,0,1,new
172,176,0,1,new
173,174,1,1,preserved
174,175,1,1,preserved
175,176,1,1,preserved
