source_lon,source_lat,theta_rad,boundary_radius
115.7000000000,39.5000000000,4.060829928408,0.957209408740
115.8000000000,39.5000000000,4.123924557564,0.941162161085
116.2000000000,39.5000000000,4.433824948277,0.756203934958
116.3000000000,39.5000000000,4.523983505600,0.821669613016
116.3000060000,39.5000000000,4.523989024962,0.821671132464
116.4000000000,39.5000000000,4.617342806354,0.854935440195
116.4000060000,39.5000000000,4.617348474844,0.854935893419
116.5000000000,39.5000000000,4.712388980385,0.751943885498
115.5000000000,39.6000000000,3.884172515745,1.016296913079
115.5999940000,39.6000000000,3.936796379924,0.995295293771
115.6000000000,39.6000000000,3.936799712605,0.995295244030
115.6999940000,39.6000000000,3.995472987887,0.940075937460
115.7000000000,39.6000000000,3.995476702752,0.940077993195
115.8000000000,39.6000000000,4.060830014513,0.957209453360
115.8000060000,39.6000000000,4.060834147616,0.957211595141
115.9000000000,39.6000000000,4.133406754994,0.888531995619
115.9000060000,39.6000000000,4.133411334950,0.888527164339
116.0000000000,39.6000000000,4.213575923076,0.814973173439
116.0999940000,39.6000000000,4.301392546972,0.789223948687
116.1000000000,39.6000000000,4.301398040682,0.789222117349
116.1999940000,39.6000000000,4.396472153314,0.749425148685
116.2000000000,39.6000000000,4.396478059462,0.749422876622
116.3000000000,39.6000000000,4.497837908670,0.814811330751
116.3000060000,39.6000000000,4.497844149496,0.814812887849
116.4000000000,39.6000000000,4.603864586142,0.853936677034
116.4000060000,39.6000000000,4.603871046604,0.853937118062
116.5000000000,39.6000000000,4.712388980385,0.751943885498
116.5999940000,39.6000000000,4.820906914165,0.687125900967
116.6000000000,39.6000000000,4.820913374628,0.687124814302
116.6999940000,39.6000000000,4.926933811273,0.727847995280
116.7000000000,39.6000000000,4.926940052099,0.727847390207
116.8000000000,39.6000000000,5.028299901308,0.732772155923
115.5000000000,39.7000000000,3.808179027590,0.972331348508
115.5999940000,39.7000000000,3.859923807873,0.999528459018
115.6000000000,39.7000000000,3.859927111255,0.999526458077
115.6999940000,39.7000000000,3.918613280815,0.995731416350
115.7000000000,39.7000000000,3.918617030274,0.995731292438
115.8000000000,39.7000000000,3.985250059245,0.934501270931
115.8000060000,39.7000000000,3.985254315915,0.934503558093
115.9000000000,39.7000000000,4.060830129321,0.957209512854
115.9000060000,39.7000000000,4.060834951276,0.957212011603
116.0000000000,39.7000000000,4.146234910860,0.875274096388
116.0999940000,39.7000000000,4.242002397848,0.810985705501
