edge_id,cell_id_a,cell_id_b,index_a,index_b,row_a,col_a,row_b,col_b,initial_layer_a,initial_layer_b,initial_layer_delta,source_radius_a,source_radius_b,source_theta_a_deg,source_theta_b_deg,source_angle_delta_deg,source_radius_delta,initial_edge_type
33,18,32,17,31,4,3,5,3,5,5,0,1.7949293882,1.7969343819,217.277334,211.534085,5.743249,0.0020049937,same_layer
34,19,20,18,19,4,4,4,5,4,3,1,1.7276814287,1.6761044968,220.188654,223.786092,3.597438,0.0515769319,adjacent_layer
35,19,33,18,32,4,4,5,4,4,4,0,1.7276814287,1.7061874002,220.188654,214.530308,5.658346,0.0214940285,same_layer
36,20,21,19,20,4,5,4,6,3,3,0,1.6761044968,1.6583792163,223.786092,228.070581,4.284488,0.0177252804,same_layer
37,20,34,19,33,4,5,5,5,3,3,0,1.6761044968,1.6248200503,223.786092,218.232513,5.553579,0.0512844465,same_layer
38,21,22,20,21,4,6,4,7,3,3,0,1.6583792163,1.6242582218,228.070581,232.669255,4.598674,0.0341209946,same_layer
39,21,35,20,34,4,6,5,6,3,2,1,1.6583792163,1.5708389948,228.070581,221.957161,6.113420,0.0875402216,adjacent_layer
40,22,23,21,22,4,7,4,8,3,3,0,1.6242582218,1.6360531617,232.669255,238.030319,5.361064,0.0117949399,same_layer
41,22,36,21,35,4,7,5,7,3,2,1,1.6242582218,1.5432057821,232.669255,227.050277,5.618978,0.0810524396,adjacent_layer
42,23,24,22,23,4,8,4,9,3,3,0,1.6360531617,1.6453461796,238.030319,244.099111,6.068792,0.0092930179,same_layer
43,23,37,22,36,4,8,5,8,3,2,1,1.6360531617,1.5127079361,238.030319,232.690966,5.339353,0.1233452256,adjacent_layer
44,24,25,23,24,4,9,4,10,3,3,0,1.6453461796,1.6369639900,244.099111,250.547191,6.448080,0.0083821896,same_layer
45,24,38,23,37,4,9,5,9,3,2,1,1.6453461796,1.5209827753,244.099111,239.277525,4.821587,0.1243634043,adjacent_layer
46,25,26,24,25,4,10,4,11,3,2,1,1.6369639900,1.5856428778,250.547191,258.181218,7.634026,0.0513211122,adjacent_layer
47,25,39,24,38,4,10,5,10,3,2,1,1.6369639900,1.5241980587,250.547191,246.939560,3.607632,0.1127659313,adjacent_layer
48,26,27,25,26,4,11,4,12,2,2,0,1.5856428778,1.5840619832,258.181218,266.243277,8.062059,0.0015808946,same_layer
49,26,40,25,39,4,11,5,11,2,2,0,1.5856428778,1.4954144831,258.181218,255.274663,2.906555,0.0902283947,same_layer
50,27,28,26,27,4,12,4,13,2,3,1,1.5840619832,1.6435178362,266.243277,274.164379,7.921102,0.0594558531,adjacent_layer
51,27,41,26,40,4,12,5,12,2,1,1,1.5840619832,1.4802521079,266.243277,265.469116,0.774161,0.1038098752,adjacent_layer
52,28,29,27,28,4,13,4,14,3,3,0,1.6435178362,1.6688958879,274.164379,281.789604,7.625225,0.0253780517,same_layer
53,28,42,27,41,4,13,5,13,3,2,1,1.6435178362,1.5217917566,274.164379,275.044431,0.880052,0.1217260796,adjacent_layer
54,29,30,28,29,4,14,4,15,3,3,0,1.6688958879,1.6946055134,281.789604,289.134382,7.344779,0.0257096255,same_layer
55,29,43,28,42,4,14,5,14,3,2,1,1.6688958879,1.5479827910,281.789604,284.257236,2.467632,0.1209130970,adjacent_layer
56,30,31,29,30,4,15,4,16,3,4,1,1.6946055134,1.7710376661,289.134382,295.996914,6.862532,0.0764321527,adjacent_layer
57,30,44,29,43,4,15,5,15,3,3,0,1.6946055134,1.6025709791,289.134382,293.119701,3.985318,0.0920345343,same_layer
58,31,45,30,44,4,16,5,16,4,5,1,1.7710376661,1.7779789455,295.996914,300.701116,4.704201,0.0069412794,adjacent_layer
59,32,33,31,32,5,3,5,4,5,4,1,1.7969343819,1.7061874002,211.534085,214.530308,2.996224,0.0907469818,adjacent_layer
60,32,47,31,46,5,3,6,3,5,5,0,1.7969343819,1.7883004370,211.534085,205.856554,5.677531,0.0086339449,same_layer
61,33,34,32,33,5,4,5,5,4,3,1,1.7061874002,1.6248200503,214.530308,218.232513,3.702205,0.0813673498,adjacent_layer
62,33,48,32,47,5,4,6,4,4,4,0,1.7061874002,1.7050872186,214.530308,208.798939,5.731369,0.0011001815,same_layer
63,34,35,33,34,5,5,5,6,3,2,1,1.6248200503,1.5708389948,218.232513,221.957161,3.724648,0.0539810555,adjacent_layer
64,34,49,33,48,5,5,6,5,3,3,0,1.6248200503,1.6245386996,218.232513,211.298799,6.933714,0.0002813507,same_layer
65,35,36,34,35,5,6,5,7,2,2,0,1.5708389948,1.5432057821,221.957161,227.050277,5.093116,0.0276332127,same_layer
66,35,50,34,49,5,6,6,6,2,2,0,1.5708389948,1.5421722141,221.957161,214.919785,7.037375,0.0286667807,same_layer
67,36,37,35,36,5,7,5,8,2,2,0,1.5432057821,1.5127079361,227.050277,232.690966,5.640689,0.0304978460,same_layer
68,36,51,35,50,5,7,6,7,2,1,1,1.5432057821,1.4717595201,227.050277,219.733312,7.316964,0.0714462620,adjacent_layer
69,37,38,36,37,5,8,5,9,2,2,0,1.5127079361,1.5209827753,232.690966,239.277525,6.586559,0.0082748393,same_layer
70,37,52,36,51,5,8,6,8,2,1,1,1.5127079361,1.4257490623,232.690966,225.499892,7.191074,0.0869588737,adjacent_layer
71,38,39,37,38,5,9,5,10,2,2,0,1.5209827753,1.5241980587,239.277525,246.939560,7.662035,0.0032152833,same_layer
72,38,53,37,52,5,9,6,9,2,1,1,1.5209827753,1.3943108559,239.277525,232.656180,6.621345,0.1266719194,adjacent_layer
73,39,40,38,39,5,10,5,11,2,2,0,1.5241980587,1.4954144831,246.939560,255.274663,8.335103,0.0287835756,same_layer
74,39,54,38,53,5,10,6,10,2,1,1,1.5241980587,1.4000208442,246.939560,241.288182,5.651378,0.1241772145,adjacent_layer
75,40,41,39,40,5,11,5,12,2,1,1,1.4954144831,1.4802521079,255.274663,265.469116,10.194453,0.0151623752,adjacent_layer
76,40,55,39,54,5,11,6,11,2,1,1,1.4954144831,1.3883920694,255.274663,251.357371,3.917292,0.1070224137,adjacent_layer
77,41,42,40,41,5,12,5,13,1,2,1,1.4802521079,1.5217917566,265.469116,275.044431,9.575315,0.0415396487,adjacent_layer
78,41,56,40,55,5,12,6,12,1,1,0,1.4802521079,1.3758811144,265.469116,263.961768,1.507348,0.1043709935,same_layer
79,42,43,41,42,5,13,5,14,2,2,0,1.5217917566,1.5479827910,275.044431,284.257236,9.212805,0.0261910343,same_layer
80,42,57,41,56,5,13,6,13,2,1,1,1.5217917566,1.4017717962,275.044431,276.495141,1.450710,0.1200199604,adjacent_layer
81,43,44,42,43,5,14,5,15,2,3,1,1.5479827910,1.6025709791,284.257236,293.119701,8.862465,0.0545881881,adjacent_layer
82,43,58,42,57,5,14,6,14,2,1,1,1.5479827910,1.4393949463,284.257236,288.307503,4.050267,0.1085878447,adjacent_layer
83,44,45,43,44,5,15,5,16,3,5,2,1.6025709791,1.7779789455,293.119701,300.701116,7.581415,0.1754079664,long_layer_conflict
84,44,59,43,58,5,15,6,15,3,2,1,1.6025709791,1.5808718218,293.119701,298.821951,5.702250,0.0216991573,adjacent_layer
85,46,47,45,46,6,2,6,3,5,5,0,1.8640403426,1.7883004370,203.496222,205.856554,2.360331,0.0757399056,same_layer
86,47,48,46,47,6,3,6,4,5,4,1,1.7883004370,1.7050872186,205.856554,208.798939,2.942385,0.0832132184,adjacent_layer
87,47,60,46,59,6,3,7,3,5,5,0,1.7883004370,1.8879217814,205.856554,197.876260,7.980293,0.0996213444,same_layer
88,48,49,47,48,6,4,6,5,4,3,1,1.7050872186,1.6245386996,208.798939,211.298799,2.499860,0.0805485190,adjacent_layer
89,48,61,47,60,6,4,7,4,4,4,0,1.7050872186,1.7195827871,208.798939,200.307551,8.491388,0.0144955685,same_layer
90,49,50,48,49,6,5,6,6,3,2,1,1.6245386996,1.5421722141,211.298799,214.919785,3.620987,0.0823664855,adjacent_layer
91,49,62,48,61,6,5,7,5,3,3,0,1.6245386996,1.6233656478,211.298799,203.383954,7.914844,0.0011730518,same_layer
92,50,51,49,50,6,6,6,7,2,1,1,1.5421722141,1.4717595201,214.919785,219.733312,4.813527,0.0704126940,adjacent_layer
93,50,63,49,62,6,6,7,6,2,2,0,1.5421722141,1.5299123613,214.919785,207.006195,7.913590,0.0122598527,same_layer
94,51,52,50,51,6,7,6,8,1,1,0,1.4717595201,1.4257490623,219.733312,225.499892,5.766580,0.0460104578,same_layer
95,51,64,50,63,6,7,7,7,1,1,0,1.4717595201,1.4485626559,219.733312,211.005905,8.727407,0.0231968642,same_layer
96,52,53,51,52,6,8,6,9,1,1,0,1.4257490623,1.3943108559,225.499892,232.656180,7.156288,0.0314382064,same_layer
97,52,65,51,64,6,8,7,8,1,1,0,1.4257490623,1.3758722930,225.499892,215.705979,9.793913,0.0498767693,same_layer
98,53,54,52,53,6,9,6,10,1,1,0,1.3943108559,1.4000208442,232.656180,241.288182,8.632001,0.0057099883,same_layer
99,53,66,52,65,6,9,7,9,1,0,1,1.3943108559,1.3105784297,232.656180,222.999627,9.656553,0.0837324262,adjacent_layer
100,54,55,53,54,6,10,6,11,1,1,0,1.4000208442,1.3883920694,241.288182,251.357371,10.069189,0.0116287748,same_layer
101,54,67,53,66,6,10,7,10,1,0,1,1.4000208442,1.2798446859,241.288182,232.558425,8.729756,0.1201761583,adjacent_layer
102,55,56,54,55,6,11,6,12,1,1,0,1.3883920694,1.3758811144,251.357371,263.961768,12.604398,0.0125109550,same_layer
103,55,68,54,67,6,11,7,11,1,0,1,1.3883920694,1.2746232897,251.357371,244.655089,6.702282,0.1137687797,adjacent_layer
104,56,57,55,56,6,12,6,13,1,1,0,1.3758811144,1.4017717962,263.961768,276.495141,12.533373,0.0258906818,same_layer
105,56,69,55,68,6,12,7,12,1,0,1,1.3758811144,1.2647484300,263.961768,261.135476,2.826292,0.1111326844,adjacent_layer
106,57,58,56,57,6,13,6,14,1,1,0,1.4017717962,1.4393949463,276.495141,288.307503,11.812362,0.0376231501,same_layer
107,57,70,56,69,6,13,7,13,1,0,1,1.4017717962,1.2799597753,276.495141,279.220487,2.725346,0.1218120208,adjacent_layer
108,58,59,57,58,6,14,6,15,1,2,1,1.4393949463,1.5808718218,288.307503,298.821951,10.514448,0.1414768755,adjacent_layer
109,58,71,57,70,6,14,7,14,1,1,0,1.4393949463,1.3736384734,288.307503,294.387317,6.079815,0.0657564728,same_layer
110,59,72,58,71,6,15,7,15,2,3,1,1.5808718218,1.6878906128,298.821951,308.205746,9.383795,0.1070187910,adjacent_layer
111,60,61,59,60,7,3,7,4,5,4,1,1.8879217814,1.7195827871,197.876260,200.307551,2.431291,0.1683389943,adjacent_layer
112,61,62,60,61,7,4,7,5,4,3,1,1.7195827871,1.6233656478,200.307551,203.383954,3.076403,0.0962171393,adjacent_layer
113,62,63,61,62,7,5,7,6,3,2,1,1.6233656478,1.5299123613,203.383954,207.006195,3.622241,0.0934532865,adjacent_layer
114,63,64,62,63,7,6,7,7,2,1,1,1.5299123613,1.4485626559,207.006195,211.005905,3.999710,0.0813497055,adjacent_layer
115,63,75,62,74,7,6,8,6,2,4,2,1.5299123613,1.7528947846,207.006195,194.691878,12.314317,0.2229824233,long_layer_conflict
116,64,65,63,64,7,7,7,8,1,1,0,1.4485626559,1.3758722930,211.005905,215.705979,4.700074,0.0726903628,same_layer
117,64,76,63,75,7,7,8,7,1,3,2,1.4485626559,1.6017779774,211.005905,197.054111,13.951794,0.1532153215,long_layer_conflict
118,65,66,64,65,7,8,7,9,1,0,1,1.3758722930,1.3105784297,215.705979,222.999627,7.293648,0.0652938633,adjacent_layer
119,65,77,64,76,7,8,8,8,1,1,0,1.3758722930,1.4034260312,215.705979,202.458220,13.247759,0.0275537382,same_layer
120,66,67,65,66,7,9,7,10,0,0,0,1.3105784297,1.2798446859,222.999627,232.558425,9.558799,0.0307337438,same_layer
121,66,78,65,77,7,9,8,9,0,0,0,1.3105784297,1.2735307804,222.999627,209.128837,13.870790,0.0370476493,same_layer
122,67,68,66,67,7,10,7,11,0,0,0,1.2798446859,1.2746232897,232.558425,244.655089,12.096663,0.0052213962,same_layer
123,67,79,66,78,7,10,8,10,0,0,0,1.2798446859,1.2015392509,232.558425,218.150897,14.407528,0.0783054350,same_layer
124,68,69,67,68,7,11,7,12,0,0,0,1.2746232897,1.2647484300,244.655089,261.135476,16.480387,0.0098748597,same_layer
125,68,80,67,79,7,11,8,11,0,0,0,1.2746232897,1.1577236774,244.655089,232.082838,12.572251,0.1168996122,same_layer
126,69,70,68,69,7,12,7,13,0,0,0,1.2647484300,1.2799597753,261.135476,279.220487,18.085010,0.0152113454,same_layer
127,69,81,68,80,7,12,8,12,0,0,0,1.2647484300,1.1257302605,261.135476,254.061643,7.073834,0.1390181695,same_layer
128,70,71,69,70,7,13,7,14,0,1,1,1.2799597753,1.3736384734,279.220487,294.387317,15.166831,0.0936786981,adjacent_layer
129,70,82,69,81,7,13,8,13,0,0,0,1.2799597753,1.1749675351,279.220487,285.456043,6.235557,0.1049922402,same_layer
130,71,72,70,71,7,14,7,15,1,3,2,1.3736384734,1.6878906128,294.387317,308.205746,13.818429,0.3142521394,long_layer_conflict
131,71,83,70,82,7,14,8,14,1,1,0,1.3736384734,1.3826488025,294.387317,308.506051,14.118733,0.0090103290,same_layer
132,72,73,71,72,7,15,7,16,3,5,2,1.6878906128,1.8162270085,308.205746,316.233182,8.027436,0.1283363957,long_layer_conflict
133,72,84,71,83,7,15,8,15,3,2,1,1.6878906128,1.4892416756,308.205746,320.688582,12.482836,0.1986489372,adjacent_layer
134,73,74,72,73,7,16,7,17,5,5,0,1.8162270085,1.8461102862,316.233182,323.491565,7.258383,0.0298832777,same_layer
135,73,85,72,84,7,16,8,16,5,2,3,1.8162270085,1.5209576242,316.233182,329.995347,13.762165,0.2952693842,long_layer_conflict
136,74,86,73,85,7,17,8,17,5,2,3,1.8461102862,1.5796868360,323.491565,335.693784,12.202219,0.2664234502,long_layer_conflict
137,75,76,74,75,8,6,8,7,4,3,1,1.7528947846,1.6017779774,194.691878,197.054111,2.362233,0.1511168072,adjacent_layer
138,76,77,75,76,8,7,8,8,3,1,2,1.6017779774,1.4034260312,197.054111,202.458220,5.404109,0.1983519462,long_layer_conflict
139,76,91,75,90,8,7,9,7,3,4,1,1.6017779774,1.7468032698,197.054111,186.998379,10.055732,0.1450252924,adjacent_layer
140,77,78,76,77,8,8,8,9,1,0,1,1.4034260312,1.2735307804,202.458220,209.128837,6.670617,0.1298952509,adjacent_layer
141,77,92,76,91,8,8,9,8,1,2,1,1.4034260312,1.5440306549,202.458220,188.111521,14.346699,0.1406046237,adjacent_layer
142,78,79,77,78,8,9,8,10,0,0,0,1.2735307804,1.2015392509,209.128837,218.150897,9.022060,0.0719915295,same_layer
143,78,93,77,92,8,9,9,9,0,1,1,1.2735307804,1.3990214674,209.128837,188.346647,20.782190,0.1254906870,adjacent_layer
144,79,80,78,79,8,10,8,11,0,0,0,1.2015392509,1.1577236774,218.150897,232.082838,13.931941,0.0438155734,same_layer
145,79,94,78,93,8,10,9,10,0,0,0,1.2015392509,1.2553142120,218.150897,191.889062,26.261835,0.0537749611,same_layer
146,80,81,79,80,8,11,8,12,0,0,0,1.1577236774,1.1257302605,232.082838,254.061643,21.978804,0.0319934169,same_layer
147,80,95,79,94,8,11,9,11,0,0,0,1.1577236774,1.0885528914,232.082838,200.882919,31.199919,0.0691707860,same_layer
148,81,82,80,81,8,12,8,13,0,0,0,1.1257302605,1.1749675351,254.061643,285.456043,31.394401,0.0492372746,same_layer
149,81,96,80,95,8,12,9,12,0,0,0,1.1257302605,0.8770316710,254.061643,230.203072,23.858571,0.2486985895,same_layer
150,82,83,81,82,8,13,8,14,0,1,1,1.1749675351,1.3826488025,285.456043,308.506051,23.050007,0.2076812673,adjacent_layer
151,82,97,81,96,8,13,9,13,0,0,0,1.1749675351,0.9319510572,285.456043,309.873051,24.417008,0.2430164780,same_layer
152,83,84,82,83,8,14,8,15,1,2,1,1.3826488025,1.4892416756,308.506051,320.688582,12.182531,0.1065928731,adjacent_layer
153,83,98,82,97,8,14,9,14,1,0,1,1.3826488025,1.1537006556,308.506051,334.262358,25.756307,0.2289481468,adjacent_layer
154,84,85,83,84,8,15,8,16,2,2,0,1.4892416756,1.5209576242,320.688582,329.995347,9.306765,0.0317159487,same_layer
155,84,99,83,98,8,15,9,15,2,0,2,1.4892416756,1.2680866157,320.688582,344.911600,24.223017,0.2211550599,long_layer_conflict
156,85,86,84,85,8,16,8,17,2,2,0,1.5209576242,1.5796868360,329.995347,335.693784,5.698436,0.0587292117,same_layer
157,85,100,84,99,8,16,9,16,2,1,1,1.5209576242,1.3675315122,329.995347,349.706176,19.710829,0.1534261121,adjacent_layer
158,86,87,85,86,8,17,8,18,2,3,1,1.5796868360,1.6374736258,335.693784,340.141356,4.447573,0.0577867898,adjacent_layer
159,86,101,85,100,8,17,9,17,2,1,1,1.5796868360,1.4667054953,335.693784,352.035973,16.342189,0.1129813407,adjacent_layer
160,87,88,86,87,8,18,8,19,3,4,1,1.6374736258,1.7063102965,340.141356,342.946609,2.805253,0.0688366708,adjacent_layer
161,87,102,86,101,8,18,9,18,3,2,1,1.6374736258,1.5653888661,340.141356,353.699458,13.558102,0.0720847597,adjacent_layer
162,88,89,87,88,8,19,8,20,4,5,1,1.7063102965,1.7820097934,342.946609,345.332608,2.385999,0.0756994968,adjacent_layer
163,88,103,87,102,8,19,9,19,4,3,1,1.7063102965,1.6638083027,342.946609,354.563816,11.617207,0.0425019938,adjacent_layer
164,89,90,88,89,8,20,8,21,5,5,0,1.7820097934,1.8674197900,345.332608,346.852846,1.520238,0.0854099966,same_layer
165,89,104,88,103,8,20,9,20,5,4,1,1.7820097934,1.7658575108,345.332608,355.295813,9.963205,0.0161522826,adjacent_layer
166,91,92,90,91,9,7,9,8,4,2,2,1.7468032698,1.5440306549,186.998379,188.111521,1.113142,0.2027726149,long_layer_conflict
167,91,105,90,104,9,7,10,7,4,4,0,1.7468032698,1.7357872037,186.998379,173.702122,13.296257,0.0110160661,same_layer
168,92,93,91,92,9,8,9,9,2,1,1,1.5440306549,1.3990214674,188.111521,188.346647,0.235126,0.1450091875,adjacent_layer
169,92,106,91,105,9,8,10,8,2,2,0,1.5440306549,1.5934717880,188.111521,172.716982,15.394539,0.0494411331,same_layer
170,93,94,92,93,9,9,9,10,1,0,1,1.3990214674,1.2553142120,188.346647,191.889062,3.542415,0.1437072554,adjacent_layer
171,93,107,92,106,9,9,10,9,1,1,0,1.3990214674,1.4465899925,188.346647,170.325051,18.021596,0.0475685251,same_layer
172,94,95,93,94,9,10,9,11,0,0,0,1.2553142120,1.0885528914,191.889062,200.882919,8.993857,0.1667613206,same_layer
173,94,108,93,107,9,10,10,10,0,0,0,1.2553142120,1.3033576038,191.889062,166.975263,24.913799,0.0480433918,same_layer
174,95,96,94,95,9,11,9,12,0,0,0,1.0885528914,0.8770316710,200.882919,230.203072,29.320153,0.2115212205,same_layer
175,95,109,94,108,9,11,10,11,0,0,0,1.0885528914,1.1452994809,200.882919,156.951522,43.931397,0.0567465895,same_layer
176,96,97,95,96,9,12,9,13,0,0,0,0.8770316710,0.9319510572,230.203072,309.873051,79.669980,0.0549193862,same_layer
177,96,110,95,109,9,12,10,12,0,0,0,0.8770316710,0.9170970635,230.203072,129.985980,100.217091,0.0400653925,same_layer
178,97,98,96,97,9,13,9,14,0,0,0,0.9319510572,1.1537006556,309.873051,334.262358,24.389306,0.2217495985,same_layer
179,97,111,96,110,9,13,10,13,0,0,0,0.9319510572,0.8965389832,309.873051,50.779165,100.906114,0.0354120740,same_layer
180,98,99,97,98,9,14,9,15,0,0,0,1.1537006556,1.2680866157,334.262358,344.911600,10.649242,0.1143859600,same_layer
181,98,112,97,111,9,14,10,14,0,0,0,1.1537006556,1.0965435244,334.262358,24.203692,49.941335,0.0571571313,same_layer
182,99,100,98,99,9,15,9,16,0,1,1,1.2680866157,1.3675315122,344.911600,349.706176,4.794576,0.0994448965,adjacent_layer
183,99,113,98,112,9,15,10,15,0,0,0,1.2680866157,1.2191560946,344.911600,13.955790,29.044191,0.0489305211,same_layer
184,100,101,99,100,9,16,9,17,1,1,0,1.3675315122,1.4667054953,349.706176,352.035973,2.329797,0.0991739831,same_layer
185,100,114,99,113,9,16,10,16,1,0,1,1.3675315122,1.3522262232,349.706176,11.463924,21.757748,0.0153052889,adjacent_layer
186,101,102,100,101,9,17,9,18,1,2,1,1.4667054953,1.5653888661,352.035973,353.699458,1.663485,0.0986833708,adjacent_layer
187,101,115,100,114,9,17,10,17,1,1,0,1.4667054953,1.4846968377,352.035973,8.318215,16.282242,0.0179913424,same_layer
188,102,103,101,102,9,18,9,19,2,3,1,1.5653888661,1.6638083027,353.699458,354.563816,0.864358,0.0984194367,adjacent_layer
189,102,116,101,115,9,18,10,18,2,3,1,1.5653888661,1.5988470882,353.699458,7.049462,13.350004,0.0334582222,adjacent_layer
190,103,104,102,103,9,19,9,20,3,4,1,1.6638083027,1.7658575108,354.563816,355.295813,0.731997,0.1020492080,adjacent_layer
191,103,117,102,116,9,19,10,19,3,4,1,1.6638083027,1.7187967917,354.563816,6.009257,11.445441,0.0549884890,adjacent_layer
192,104,118,103,117,9,20,10,20,4,5,1,1.7658575108,1.8363201214,355.295813,5.189430,9.893617,0.0704626107,adjacent_layer
193,105,106,104,105,10,7,10,8,4,2,2,1.7357872037,1.5934717880,173.702122,172.716982,0.985140,0.1423154157,long_layer_conflict
194,105,120,104,119,10,7,11,7,4,3,1,1.7357872037,1.6478794426,173.702122,160.932706,12.769415,0.0879077610,adjacent_layer
195,106,107,105,106,10,8,10,9,2,1,1,1.5934717880,1.4465899925,172.716982,170.325051,2.391931,0.1468817955,adjacent_layer
196,106,121,105,120,10,8,11,8,2,2,0,1.5934717880,1.5468120900,172.716982,156.498309,16.218673,0.0466596980,same_layer
197,107,108,106,107,10,9,10,10,1,0,1,1.4465899925,1.3033576038,170.325051,166.975263,3.349787,0.1432323886,adjacent_layer
198,107,122,106,121,10,9,11,9,1,1,0,1.4465899925,1.4603914637,170.325051,150.937438,19.387613,0.0138014712,same_layer
199,108,109,107,108,10,10,10,11,0,0,0,1.3033576038,1.1452994809,166.975263,156.951522,10.023741,0.1580581230,same_layer
200,108,123,107,122,10,10,11,10,0,1,1,1.3033576038,1.4009966495,166.975263,141.041652,25.933611,0.0976390456,adjacent_layer
201,109,110,108,109,10,11,10,12,0,0,0,1.1452994809,0.9170970635,156.951522,129.985980,26.965541,0.2282024174,same_layer
202,109,124,108,123,10,11,11,11,0,0,0,1.1452994809,1.3150576266,156.951522,127.957628,28.993893,0.1697581457,same_layer
203,110,111,109,110,10,12,10,13,0,0,0,0.9170970635,0.8965389832,129.985980,50.779165,79.206815,0.0205580803,same_layer
204,110,125,109,124,10,12,11,12,0,0,0,0.9170970635,1.1960936001,129.985980,106.762912,23.223069,0.2789965366,same_layer
205,111,112,110,111,10,13,10,14,0,0,0,0.8965389832,1.0965435244,50.779165,24.203692,26.575473,0.2000045411,same_layer
206,111,126,110,125,10,13,11,13,0,0,0,0.8965389832,1.1708207547,50.779165,73.792068,23.012903,0.2742817715,same_layer
