edge_id,cell_id_a,cell_id_b,index_a,index_b,row_a,col_a,row_b,col_b,initial_layer_a,initial_layer_b,initial_layer_delta,source_radius_a,source_radius_b,source_theta_a_deg,source_theta_b_deg,source_angle_delta_deg,source_radius_delta,initial_edge_type
1,1,7,0,6,2,5,3,5,5,4,1,1.8417748077,1.7743431353,232.644390,228.711431,3.932960,0.0674316724,adjacent_layer
2,2,3,1,2,2,10,2,11,5,4,1,1.8385275019,1.7697204004,255.601413,261.266950,5.665536,0.0688071015,adjacent_layer
3,2,12,1,11,2,10,3,10,5,4,1,1.8385275019,1.7390475009,255.601413,253.391183,2.210231,0.0994800010,adjacent_layer
4,3,4,2,3,2,11,2,12,4,5,1,1.7697204004,1.7974858946,261.266950,267.266385,5.999435,0.0277654942,adjacent_layer
5,3,13,2,12,2,11,3,11,4,3,1,1.7697204004,1.6747921672,261.266950,259.971230,1.295720,0.0949282332,adjacent_layer
6,4,14,3,13,2,12,3,12,5,3,2,1.7974858946,1.6908793637,267.266385,266.834130,0.432255,0.1066065309,long_layer_conflict
7,5,6,4,5,3,3,3,4,5,5,0,1.8267474442,1.7898997621,221.774885,225.025203,3.250318,0.0368476821,same_layer
8,5,18,4,17,3,3,4,3,5,5,0,1.8267474442,1.7949293882,221.774885,217.277334,4.497551,0.0318180560,same_layer
9,6,7,5,6,3,4,3,5,5,4,1,1.7898997621,1.7743431353,225.025203,228.711431,3.686228,0.0155566269,adjacent_layer
10,6,19,5,18,3,4,4,4,5,4,1,1.7898997621,1.7276814287,225.025203,220.188654,4.836549,0.0622183334,adjacent_layer
11,7,8,6,7,3,5,3,6,4,4,0,1.7743431353,1.7374074749,228.711431,232.667135,3.955704,0.0369356604,same_layer
12,7,20,6,19,3,5,4,5,4,3,1,1.7743431353,1.6761044968,228.711431,223.786092,4.925338,0.0982386385,adjacent_layer
13,8,9,7,8,3,6,3,7,4,4,0,1.7374074749,1.7456976301,232.667135,237.223662,4.556528,0.0082901553,same_layer
14,8,21,7,20,3,6,4,6,4,3,1,1.7374074749,1.6583792163,232.667135,228.070581,4.596554,0.0790282585,adjacent_layer
15,9,10,8,9,3,7,3,8,4,4,0,1.7456976301,1.7614871531,237.223662,242.124469,4.900806,0.0157895229,same_layer
16,9,22,8,21,3,7,4,7,4,3,1,1.7456976301,1.6242582218,237.223662,232.669255,4.554408,0.1214394084,adjacent_layer
17,10,11,9,10,3,8,3,9,4,4,0,1.7614871531,1.7648838260,242.124469,247.680785,5.556316,0.0033966729,same_layer
18,10,23,9,22,3,8,4,8,4,3,1,1.7614871531,1.6360531617,242.124469,238.030319,4.094150,0.1254339914,adjacent_layer
19,11,12,10,11,3,9,3,10,4,4,0,1.7648838260,1.7390475009,247.680785,253.391183,5.710398,0.0258363251,same_layer
20,11,24,10,23,3,9,4,9,4,3,1,1.7648838260,1.6453461796,247.680785,244.099111,3.581674,0.1195376464,adjacent_layer
21,12,13,11,12,3,10,3,11,4,3,1,1.7390475009,1.6747921672,253.391183,259.971230,6.580047,0.0642553336,adjacent_layer
22,12,25,11,24,3,10,4,10,4,3,1,1.7390475009,1.6369639900,253.391183,250.547191,2.843992,0.1020835109,adjacent_layer
23,13,14,12,13,3,11,3,12,3,3,0,1.6747921672,1.6908793637,259.971230,266.834130,6.862901,0.0160871965,same_layer
24,13,26,12,25,3,11,4,11,3,2,1,1.6747921672,1.5856428778,259.971230,258.181218,1.790012,0.0891492894,adjacent_layer
25,14,15,13,14,3,12,3,13,3,4,1,1.6908793637,1.7672003167,266.834130,273.544807,6.710677,0.0763209529,adjacent_layer
26,14,27,13,26,3,12,4,12,3,2,1,1.6908793637,1.5840619832,266.834130,266.243277,0.590853,0.1068173805,adjacent_layer
27,15,16,14,15,3,13,3,14,4,5,1,1.7672003167,1.7919646632,273.544807,279.837642,6.292835,0.0247643465,adjacent_layer
28,15,28,14,27,3,13,4,13,4,3,1,1.7672003167,1.6435178362,273.544807,274.164379,0.619572,0.1236824804,adjacent_layer
29,16,17,15,16,3,14,3,15,5,5,0,1.7919646632,1.7964539517,279.837642,286.361080,6.523437,0.0044892886,same_layer
30,16,29,15,28,3,14,4,14,5,3,2,1.7919646632,1.6688958879,279.837642,281.789604,1.951962,0.1230687753,long_layer_conflict
31,17,30,16,29,3,15,4,15,5,3,2,1.7964539517,1.6946055134,286.361080,289.134382,2.773303,0.1018484383,long_layer_conflict
32,18,19,17,18,4,3,4,4,5,4,1,1.7949293882,1.7276814287,217.277334,220.188654,2.911320,0.0672479595,adjacent_layer
