cell_id,row,col,initial_layer,optimized_layer,layer_changed,initial_slot,optimized_slot,source_radius,source_theta_deg,optimized_center_theta_deg,angular_displacement_deg,theta_left_deg,theta_right_deg,angular_width_deg,r_inner,r_outer,original_degree,preserved_degree,lost_degree,new_degree
36,5,7,2,2,0,6,9,1.5495666036,227.011122,243.471456,16.460334,238.904563,248.038348,9.133784,1.2833333333,1.4250000000,4,2,2,2
37,5,8,2,2,0,7,10,1.5025522675,232.668320,250.626475,17.958155,248.038348,253.214602,5.176254,1.2833333333,1.4250000000,4,2,2,3
38,5,9,2,2,0,8,12,1.5292727953,239.323669,266.526608,27.202939,263.905237,269.147979,5.242741,1.2833333333,1.4250000000,4,1,3,3
39,5,10,2,2,0,9,11,1.5286066523,247.037356,258.559920,11.522563,253.214602,263.905237,10.690635,1.2833333333,1.4250000000,4,4,0,2
40,5,11,1,1,0,11,10,1.4977068228,255.736786,265.770469,10.033683,261.537148,270.003789,8.466641,1.1416666667,1.2833333333,4,3,1,3
41,5,12,1,2,1,13,13,1.4485387719,265.156264,276.759671,11.603407,269.147979,284.371363,15.223384,1.2833333333,1.4250000000,4,4,0,3
42,5,13,2,3,1,12,11,1.5552208911,274.843736,271.130033,3.713703,269.623678,272.636388,3.012710,1.4250000000,1.5666666667,4,2,2,2
43,5,14,2,2,0,13,15,1.5534515915,284.263214,295.750702,11.487487,293.330930,298.170474,4.839544,1.2833333333,1.4250000000,4,3,1,2
44,5,15,3,3,0,16,14,1.6053241793,292.962644,306.762827,13.800183,295.301613,318.224041,22.922427,1.4250000000,1.5666666667,4,4,0,2
45,5,16,4,4,0,13,16,1.7183871492,300.676331,308.524698,7.848367,298.681470,318.367927,19.686457,1.5666666667,1.7083333333,2,2,0,2
46,6,2,5,5,0,2,1,1.8419084279,203.608370,194.935817,8.672553,186.797646,203.073989,16.276343,1.7083333333,1.8500000000,1,1,0,2
47,6,3,5,5,0,3,2,1.7994410100,205.783790,205.838944,0.055155,203.073989,208.603900,5.529912,1.7083333333,1.8500000000,4,4,0,0
48,6,4,4,4,0,2,3,1.7392995713,208.364514,206.973890,1.390624,204.963073,208.984707,4.021634,1.5666666667,1.7083333333,4,4,0,1
49,6,5,3,3,0,3,3,1.6489864756,211.461986,210.941760,0.520226,205.460628,216.422892,10.962264,1.4250000000,1.5666666667,4,3,1,3
50,6,6,2,2,0,4,7,1.5365719919,215.223306,230.527787,15.304481,227.892002,233.163572,5.271570,1.2833333333,1.4250000000,4,3,1,1
51,6,7,1,1,0,6,5,1.4579935767,219.841399,230.114896,10.273497,227.521593,232.708200,5.186607,1.1416666667,1.2833333333,4,3,1,1
52,6,8,1,1,0,7,6,1.4186321191,225.562049,235.710703,10.148654,232.708200,238.713205,6.005005,1.1416666667,1.2833333333,4,2,2,2
