cell_id,layer,slot_in_layer,source_radius,source_theta_deg,theta_left_deg,theta_right_deg,r_inner,r_outer
109,1,1,1.1452994809,156.9515217050,143.4687510965,161.9633923963,1.0000000000,1.3302296359
108,1,2,1.3033576038,166.9752630876,161.9633923963,179.4321624681,1.0000000000,1.3302296359
94,1,3,1.2553142120,191.8890618485,179.4321624681,196.3859903357,1.0000000000,1.3302296359
95,1,4,1.0885528914,200.8829188229,196.3859903357,205.0058776819,1.0000000000,1.3302296359
78,1,5,1.2735307804,209.1288365408,205.0058776819,213.6398667574,1.0000000000,1.3302296359
79,1,6,1.2015392509,218.1508969740,213.6398667574,220.5752619098,1.0000000000,1.3302296359
66,1,7,1.3105784297,222.9996268456,220.5752619098,226.6013492632,1.0000000000,1.3302296359
96,1,8,0.8770316710,230.2030716808,226.6013492632,231.0118517614,1.0000000000,1.3302296359
80,1,9,1.1577236774,232.0828382820,231.0118517614,232.3206318421,1.0000000000,1.3302296359
67,1,10,1.2798446859,232.5584254022,232.3206318421,238.7378603351,1.0000000000,1.3302296359
68,1,11,1.2746232897,244.6550888281,238.7378603351,249.3583657631,1.0000000000,1.3302296359
81,1,12,1.1257302605,254.0616426982,249.3583657631,257.5985594806,1.0000000000,1.3302296359
69,1,13,1.2647484300,261.1354762630,257.5985594806,270.1779814152,1.0000000000,1.3302296359
70,1,14,1.2799597753,279.2204865674,270.1779814152,282.3382649438,1.0000000000,1.3302296359
82,1,15,1.1749675351,285.4560433202,282.3382649438,297.6645473194,1.0000000000,1.3302296359
97,1,16,0.9319510572,309.8730513185,297.6645473194,322.0677045070,1.0000000000,1.3302296359
98,1,17,1.1537006556,334.2623576954,322.0677045070,339.5869786466,1.0000000000,1.3302296359
99,1,18,1.2680866157,344.9115995977,339.5869786466,358.1877618766,1.0000000000,1.3302296359
114,1,19,1.3522262232,11.4639241554,358.1877618766,12.7098571450,1.0000000000,1.3302296359
113,1,20,1.2191560946,13.9557901346,12.7098571450,19.0797412441,1.0000000000,1.3302296359
112,1,21,1.0965435244,24.2036923535,19.0797412441,31.5356353857,1.0000000000,1.3302296359
128,1,22,1.3159883242,38.8675784179,31.5356353857,44.8233718850,1.0000000000,1.3302296359
111,1,23,0.8965389832,50.7791653520,44.8233718850,51.4203215936,1.0000000000,1.3302296359
127,1,24,1.2606839090,52.0614778352,51.4203215936,62.9267729848,1.0000000000,1.3302296359
126,1,25,1.1708207547,73.7920681345,62.9267729848,77.3341825661,1.0000000000,1.3302296359
141,1,26,1.3132879093,80.8762969978,77.3341825661,90.4834798799,1.0000000000,1.3302296359
140,1,27,1.3672334330,100.0906627619,90.4834798799,103.4267872050,1.0000000000,1.3302296359
125,1,28,1.1960936001,106.7629116480,103.4267872050,117.3602700497,1.0000000000,1.3302296359
124,1,29,1.3150576266,127.9576284515,117.3602700497,128.9718044697,1.0000000000,1.3302296359
110,1,30,0.9170970635,129.9859804879,128.9718044697,143.4687510965,1.0000000000,1.3302296359
100,2,1,1.3675315122,349.7061759896,329.1061133551,350.8710743142,1.3302296359,1.4852380052
101,2,2,1.4667054953,352.0359726388,350.8710743142,0.1770938395,1.3302296359,1.4852380052
115,2,3,1.4846968377,8.3182150402,0.1770938395,14.2729243883,1.3302296359,1.4852380052
130,2,4,1.4848147482,20.2276337364,14.2729243883,24.2686583229,1.3302296359,1.4852380052
129,2,5,1.3817642147,28.3096829095,24.2686583229,40.3699705844,1.3302296359,1.4852380052
143,2,6,1.4653765747,52.4302582593,40.3699705844,58.5485124260,1.3302296359,1.4852380052
142,2,7,1.3794690602,64.6667665927,58.5485124260,67.7809197732,1.3302296359,1.4852380052
154,2,8,1.4844175187,70.8950729538,67.7809197732,77.6881344235,1.3302296359,1.4852380052
153,2,9,1.4232241185,84.4811958931,77.6881344235,90.0592710136,1.3302296359,1.4852380052
152,2,10,1.4721531306,95.6373461340,90.0592710136,105.3009841414,1.3302296359,1.4852380052
139,2,11,1.4666572378,114.9646221487,105.3009841414,128.0031372176,1.3302296359,1.4852380052
123,2,12,1.4009966495,141.0416522864,128.0031372176,145.9895449070,1.3302296359,1.4852380052
122,2,13,1.4603914637,150.9374375276,145.9895449070,160.6312440315,1.3302296359,1.4852380052
107,2,14,1.4465899925,170.3250505355,160.6312440315,179.3358485778,1.3302296359,1.4852380052
93,2,15,1.3990214674,188.3466466200,179.3358485778,195.4024331879,1.3302296359,1.4852380052
77,2,16,1.4034260312,202.4582197558,195.4024331879,206.7320624785,1.3302296359,1.4852380052
64,2,17,1.4485626559,211.0059052012,206.7320624785,213.3559420781,1.3302296359,1.4852380052
65,2,18,1.3758722930,215.7059789550,213.3559420781,217.7196456463,1.3302296359,1.4852380052
51,2,19,1.4717595201,219.7333123376,217.7196456463,222.6166021828,1.3302296359,1.4852380052
52,2,20,1.4257490623,225.4998920279,222.6166021828,229.0780360660,1.3302296359,1.4852380052
53,2,21,1.3943108559,232.6561801041,229.0780360660,236.9721808466,1.3302296359,1.4852380052
54,2,22,1.4000208442,241.2881815890,236.9721808466,246.3227761679,1.3302296359,1.4852380052
55,2,23,1.3883920694,251.3573707468,246.3227761679,257.6595695038,1.3302296359,1.4852380052
56,2,24,1.3758811144,263.9617682608,257.6595695038,264.7154421353,1.3302296359,1.4852380052
41,2,25,1.4802521079,265.4691160098,264.7154421353,270.9821284048,1.3302296359,1.4852380052
57,2,26,1.4017717962,276.4951407998,270.9821284048,282.4013217269,1.3302296359,1.4852380052
58,2,27,1.4393949463,288.3075026540,282.4013217269,291.3474100493,1.3302296359,1.4852380052
71,2,28,1.3736384734,294.3873174446,291.3474100493,301.4466840826,1.3302296359,1.4852380052
83,2,29,1.3826488025,308.5060507206,301.4466840826,329.1061133551,1.3302296359,1.4852380052
138,3,1,1.5673401679,127.6341476829,111.2736483807,142.0662281722,1.4852380052,1.5975656673
121,3,2,1.5468120900,156.4983086615,142.0662281722,164.6076452468,1.4852380052,1.5975656673
106,3,3,1.5934717880,172.7169818321,164.6076452468,180.4142511767,1.4852380052,1.5975656673
92,3,4,1.5440306549,188.1115205213,180.4142511767,197.5588579000,1.4852380052,1.5975656673
63,3,5,1.5299123613,207.0061952787,197.5588579000,210.9629903044,1.4852380052,1.5975656673
50,3,6,1.5421722141,214.9197853301,210.9629903044,218.4384729833,1.4852380052,1.5975656673
35,3,7,1.5708389948,221.9571606364,218.4384729833,224.5037186409,1.4852380052,1.5975656673
36,3,8,1.5432057821,227.0502766453,224.5037186409,229.8706211759,1.4852380052,1.5975656673
37,3,9,1.5127079361,232.6909657064,229.8706211759,235.9842451938,1.4852380052,1.5975656673
38,3,10,1.5209827753,239.2775246813,235.9842451938,243.1085421007,1.4852380052,1.5975656673
39,3,11,1.5241980587,246.9395595201,243.1085421007,251.1071111872,1.4852380052,1.5975656673
40,3,12,1.4954144831,255.2746628542,251.1071111872,256.7279402145,1.4852380052,1.5975656673
26,3,13,1.5856428778,258.1812175747,256.7279402145,262.2122471705,1.4852380052,1.5975656673
