cell_id,layer,slot_in_layer,source_radius,source_theta_deg,theta_left_deg,theta_right_deg,r_inner,r_outer
27,3,14,1.5840619832,266.2432767662,262.2122471705,270.6438539176,1.4852380052,1.5975656673
42,3,15,1.5217917566,275.0444310690,270.6438539176,279.6508335250,1.4852380052,1.5975656673
43,3,16,1.5479827910,284.2572359811,279.6508335250,291.5395934833,1.4852380052,1.5975656673
59,3,17,1.5808718218,298.8219509856,291.5395934833,309.7552665629,1.4852380052,1.5975656673
84,3,18,1.4892416756,320.6885821402,309.7552665629,325.3419647390,1.4852380052,1.5975656673
85,3,19,1.5209576242,329.9953473379,325.3419647390,332.8445655773,1.4852380052,1.5975656673
86,3,20,1.5796868360,335.6937838166,332.8445655773,344.6966209351,1.4852380052,1.5975656673
102,3,21,1.5653888661,353.6994580536,344.6966209351,6.4858329291,1.4852380052,1.5975656673
131,3,22,1.5546274478,19.2722078046,6.4858329291,25.0121938585,1.4852380052,1.5975656673
146,3,23,1.5704677922,30.7521799124,25.0121938585,33.7170876367,1.4852380052,1.5975656673
145,3,24,1.5472518919,36.6819953609,33.7170876367,40.0728191714,1.4852380052,1.5975656673
144,3,25,1.5243639878,43.4636429819,40.0728191714,52.3084227675,1.4852380052,1.5975656673
155,3,26,1.5715543630,61.1532025530,52.3084227675,68.2120924478,1.4852380052,1.5975656673
166,3,27,1.5792380679,75.2709823425,68.2120924478,80.3300288028,1.4852380052,1.5975656673
165,3,28,1.5287403296,85.3890752630,80.3300288028,90.1511121708,1.4852380052,1.5975656673
164,3,29,1.5765495504,94.9131490786,90.1511121708,111.2736483807,1.4852380052,1.5975656673
76,4,1,1.6017779774,197.0541110333,178.9934085908,200.2190326481,1.5975656673,1.6953861537
62,4,2,1.6233656478,203.3839542629,200.2190326481,207.3413764959,1.5975656673,1.6953861537
49,4,3,1.6245386996,211.2987987289,207.3413764959,214.7656559159,1.5975656673,1.6953861537
34,4,4,1.6248200503,218.2325131029,214.7656559159,221.0093027447,1.5975656673,1.6953861537
20,4,5,1.6761044968,223.7860923865,221.0093027447,225.9283365229,1.5975656673,1.6953861537
21,4,6,1.6583792163,228.0705806594,225.9283365229,230.3699176379,1.5975656673,1.6953861537
22,4,7,1.6242582218,232.6692546164,230.3699176379,235.3497866787,1.5975656673,1.6953861537
23,4,8,1.6360531617,238.0303187410,235.3497866787,241.0647149672,1.5975656673,1.6953861537
24,4,9,1.6453461796,244.0991111934,241.0647149672,247.3231512757,1.5975656673,1.6953861537
25,4,10,1.6369639900,250.5471913580,247.3231512757,255.2592104897,1.5975656673,1.6953861537
13,4,11,1.6747921672,259.9712296213,255.2592104897,263.4026799271,1.5975656673,1.6953861537
14,4,12,1.6908793637,266.8341302329,263.4026799271,270.4992546633,1.5975656673,1.6953861537
28,4,13,1.6435178362,274.1643790937,270.4992546633,277.9769915356,1.5975656673,1.6953861537
29,4,14,1.6688958879,281.7896039774,277.9769915356,285.4619932313,1.5975656673,1.6953861537
30,4,15,1.6946055134,289.1343824851,285.4619932313,291.1270416358,1.5975656673,1.6953861537
44,4,16,1.6025709791,293.1197007865,291.1270416358,300.6627236337,1.5975656673,1.6953861537
72,4,17,1.6878906128,308.2057464809,300.6627236337,324.1735514291,1.5975656673,1.6953861537
87,4,18,1.6374736258,340.1413563773,324.1735514291,347.3525860135,1.5975656673,1.6953861537
103,4,19,1.6638083027,354.5638156496,347.3525860135,0.8066386521,1.5975656673,1.6953861537
116,4,20,1.5988470882,7.0494616545,0.8066386521,16.1569762349,1.5975656673,1.6953861537
147,4,21,1.6585951782,25.2644908153,16.1569762349,38.8863104052,1.5975656673,1.6953861537
156,4,22,1.6666874807,52.5081299951,38.8863104052,59.6683826993,1.5975656673,1.6953861537
167,4,23,1.6841310097,66.8286354035,59.6683826993,72.4216162406,1.5975656673,1.6953861537
171,4,24,1.6866230943,78.0145970777,72.4216162406,82.1030928861,1.5975656673,1.6953861537
170,4,25,1.6477471984,86.1915886945,82.1030928861,97.8664757015,1.5975656673,1.6953861537
151,4,26,1.5993299505,109.5413627086,97.8664757015,114.2488985433,1.5975656673,1.6953861537
150,4,27,1.6938607210,118.9564343781,114.2488985433,127.6755199771,1.5975656673,1.6953861537
137,4,28,1.6560396500,136.3946055761,127.6755199771,148.6636558622,1.5975656673,1.6953861537
120,4,29,1.6478794426,160.9327061483,148.6636558622,178.9934085908,1.5975656673,1.6953861537
88,5,1,1.7063102965,342.9466088884,319.4717615911,349.1212109268,1.6953861537,1.7769471592
104,5,2,1.7658575108,355.2958129652,349.1212109268,0.6525348715,1.6953861537,1.7769471592
117,5,3,1.7187967917,6.0092567779,0.6525348715,11.5908743519,1.6953861537,1.7769471592
132,5,4,1.7011363643,17.1724919259,11.5908743519,26.4227770671,1.6953861537,1.7769471592
159,5,5,1.7679012393,35.6730622084,26.4227770671,37.8272066192,1.6953861537,1.7769471592
158,5,6,1.7502063808,39.9813510301,37.8272066192,42.9017328600,1.6953861537,1.7769471592
157,5,7,1.7338120983,45.8221146898,42.9017328600,52.5012160378,1.6953861537,1.7769471592
168,5,8,1.7626032486,59.1803173858,52.5012160378,76.7438490810,1.6953861537,1.7769471592
169,5,9,1.7163118267,94.3073807763,76.7438490810,99.6458957941,1.6953861537,1.7769471592
163,5,10,1.7129444393,104.9844108120,99.6458957941,124.2487812068,1.6953861537,1.7769471592
136,5,11,1.7112448121,143.5131516016,124.2487812068,146.4135874678,1.6953861537,1.7769471592
135,5,12,1.7428928647,149.3140233340,146.4135874678,156.5357529985,1.6953861537,1.7769471592
119,5,13,1.7671332218,163.7574826630,156.5357529985,168.7298020820,1.6953861537,1.7769471592
105,5,14,1.7357872037,173.7021215010,168.7298020820,180.3502501043,1.6953861537,1.7769471592
91,5,15,1.7468032698,186.9983787077,180.3502501043,190.8451282504,1.6953861537,1.7769471592
75,5,16,1.7528947846,194.6918777932,190.8451282504,197.4997143761,1.6953861537,1.7769471592
61,5,17,1.7195827871,200.3075509591,197.4997143761,204.5532449899,1.6953861537,1.7769471592
48,5,18,1.7050872186,208.7989390208,204.5532449899,211.6646237017,1.6953861537,1.7769471592
33,5,19,1.7061874002,214.5303083826,211.6646237017,217.3594811760,1.6953861537,1.7769471592
19,5,20,1.7276814287,220.1886539694,217.3594811760,224.4500423790,1.6953861537,1.7769471592
7,5,21,1.7743431353,228.7114307886,224.4500423790,230.6892826820,1.6953861537,1.7769471592
8,5,22,1.7374074749,232.6671345754,230.6892826820,234.9453984477,1.6953861537,1.7769471592
9,5,23,1.7456976301,237.2236623200,234.9453984477,239.6740655253,1.6953861537,1.7769471592
10,5,24,1.7614871531,242.1244687306,239.6740655253,244.9026269572,1.6953861537,1.7769471592
11,5,25,1.7648838260,247.6807851838,244.9026269572,250.5359840713,1.6953861537,1.7769471592
12,5,26,1.7390475009,253.3911829588,250.5359840713,257.3290663818,1.6953861537,1.7769471592
3,5,27,1.7697204004,261.2669498049,257.3290663818,267.4058784065,1.6953861537,1.7769471592
15,5,28,1.7672003167,273.5448070082,267.4058784065,284.7708606510,1.6953861537,1.7769471592
31,5,29,1.7710376661,295.9969142937,284.7708606510,319.4717615911,1.6953861537,1.7769471592
60,6,1,1.8879217814,197.8762602560,175.5661189689,200.6862412511,1.7769471592,1.8500000000
46,6,2,1.8640403426,203.4962222463,200.6862412511,204.6763879585,1.7769471592,1.8500000000
47,6,3,1.7883004370,205.8565536707,204.6763879585,208.6953192127,1.7769471592,1.8500000000
32,6,4,1.7969343819,211.5340847546,208.6953192127,214.4057094210,1.7769471592,1.8500000000
18,6,5,1.7949293882,217.2773340875,214.4057094210,219.5261096535,1.7769471592,1.8500000000
5,6,6,1.8267474442,221.7748852195,219.5261096535,223.4000439783,1.7769471592,1.8500000000
6,6,7,1.7898997621,225.0252027370,223.4000439783,228.8347965269,1.7769471592,1.8500000000
1,6,8,1.8417748077,232.6443903168,228.8347965269,244.1229018943,1.7769471592,1.8500000000
2,6,9,1.8385275019,255.6014134717,244.1229018943,261.4338992330,1.7769471592,1.8500000000
4,6,10,1.7974858946,267.2663849943,261.4338992330,273.5520136394,1.7769471592,1.8500000000
16,6,11,1.7919646632,279.8376422845,273.5520136394,283.0993609731,1.7769471592,1.8500000000
17,6,12,1.7964539517,286.3610796616,283.0993609731,293.5310976545,1.7769471592,1.8500000000
45,6,13,1.7779789455,300.7011156473,293.5310976545,308.4671489394,1.7769471592,1.8500000000
73,6,14,1.8162270085,316.2331822314,308.4671489394,319.8623737276,1.7769471592,1.8500000000
74,6,15,1.8461102862,323.4915652239,319.8623737276,334.4120867955,1.7769471592,1.8500000000
89,6,16,1.7820097934,345.3326083671,334.4120867955,346.0927272118,1.7769471592,1.8500000000
90,6,17,1.8674197900,346.8528460565,346.0927272118,356.0211380589,1.7769471592,1.8500000000
118,6,18,1.8363201214,5.1894300612,356.0211380589,10.0096531845,1.7769471592,1.8500000000
133,6,19,1.8607239213,14.8298763077,10.0096531845,17.2918196633,1.7769471592,1.8500000000
148,6,20,1.8448485676,19.7537630188,17.2918196633,23.9646642638,1.7769471592,1.8500000000
161,6,21,1.8291566152,28.1755655087,23.9646642638,30.0183208438,1.7769471592,1.8500000000
160,6,22,1.7827542721,31.8610761789,30.0183208438,51.2614977329,1.7769471592,1.8500000000
172,6,23,1.7979057664,70.6619192869,51.2614977329,75.4329706913,1.7769471592,1.8500000000
175,6,24,1.8057758988,80.2040220957,75.4329706913,81.1834937950,1.7769471592,1.8500000000
176,6,25,1.9159017299,82.1629654943,81.1834937950,84.3057053751,1.7769471592,1.8500000000
174,6,26,1.7861712579,86.4484452559,84.3057053751,90.0073298363,1.7769471592,1.8500000000
173,6,27,1.8601254131,93.5662144167,90.0073298363,103.2276676430,1.7769471592,1.8500000000
162,6,28,1.8292521648,112.8891208693,103.2276676430,120.1934847744,1.7769471592,1.8500000000
149,6,29,1.8046219320,127.4978486795,120.1934847744,140.3769131807,1.7769471592,1.8500000000
134,6,30,1.7938715703,153.2559776818,140.3769131807,175.5661189689,1.7769471592,1.8500000000
