cell_id,row,col,center_x,center_y,vertex_count,signed_area,area
74,7,17,1.4838467453,-1.0983269209,4,0.0824123263,0.0824123263
75,8,6,-1.6955816382,-0.4445706177,4,0.0103374110,0.0103374110
76,8,7,-1.5313449311,-0.4697609933,4,0.0274933051,0.0274933051
77,8,8,-1.2969878723,-0.5361222661,4,0.0508818433,0.0508818433
78,8,9,-1.1124639593,-0.6199230499,4,0.0301038214,0.0301038214
79,8,10,-0.9448743499,-0.7422324665,4,0.0323880896,0.0323880896
80,8,11,-0.7114461206,-0.9133282711,4,0.0411086792,0.0411086792
81,8,12,-0.3091289132,-1.0824545877,4,0.0896146961,0.0896146961
82,8,13,0.3131276861,-1.1324750597,4,0.0667714092,0.0667714092
83,8,14,0.8608333843,-1.0819813286,4,0.1217247599,0.1217247599
84,8,15,1.1522470961,-0.9434868297,4,0.1080730495,0.1080730495
85,8,16,1.3171261822,-0.7605857709,4,0.0593022328,0.0593022328
86,8,17,1.4396612226,-0.6502200119,4,0.0585505237,0.0585505237
87,8,18,1.5400989145,-0.5562510302,4,0.0353511516,0.0353511516
88,8,19,1.6312870646,-0.5003971832,4,0.0368477653,0.0368477653
89,8,20,1.7239376862,-0.4512180823,4,0.0289662396,0.0289662396
90,8,21,1.8184730466,-0.4247498686,4,0.0294726960,0.0294726960
91,9,7,-1.7337888863,-0.2128327068,4,0.0798063522,0.0798063522
92,9,8,-1.5285831015,-0.2178631796,4,0.0786096106,0.0786096106
93,9,9,-1.3842029416,-0.2030844223,4,0.0518498056,0.0518498056
94,9,10,-1.2283856296,-0.2586165421,4,0.0673982023,0.0673982023
95,9,11,-1.0170467060,-0.3880249931,4,0.1202776275,0.1202776275
96,9,12,-0.5613603550,-0.6738390785,4,0.3083020269,0.3083020269
97,9,13,0.5974633194,-0.7152414662,4,0.4614218778,0.4614218778
98,9,14,1.0392442294,-0.5009956432,4,0.1557651129,0.1557651129
99,9,15,1.2243697741,-0.3300944124,4,0.0752726365,0.0752726365
100,9,16,1.3455201428,-0.2443726296,4,0.0502753311,0.0502753311
101,9,17,1.4525594906,-0.2032140157,4,0.0417849961,0.0417849961
102,9,18,1.5559337881,-0.1717915860,4,0.0337729506,0.0337729506
103,9,19,1.6563250475,-0.1576242534,4,0.0321827182,0.0321827182
104,9,20,1.7599090366,-0.1448203411,4,0.0295948342,0.0295948342
