cell_id,row,col,center_lon,center_lat,theta_rad,theta_deg,rho,R,X_center,Y_center,fixed_cell_side
166,14,14,116.6499940000,40.7500000000,1.3218562761,75.736786,0.7174297973,1.6098153277,0.3966211851,1.5601913424,0.1554741767
167,14,15,116.7500000000,40.7500000000,1.1700225899,67.037356,0.8136106285,1.6915690342,0.6599333236,1.5575281076,0.1554741767
168,14,16,116.8500060000,40.7500000000,1.0353933408,59.323669,0.8940336881,1.7599286348,0.8978938970,1.5136496786,0.1554741767
169,15,12,116.4500000000,40.8500020000,1.6400189058,93.966162,0.9172218358,1.7796385604,-0.1230928105,1.7753764575,0.1554741767
170,15,13,116.5500000000,40.8500020000,1.5015737478,86.033838,0.7954104505,1.6760988829,0.1159312496,1.6720847499,0.1554741767
171,15,14,116.6499940000,40.8500020000,1.3657283321,78.250469,0.7593787757,1.6454719594,0.3350735933,1.6109946171,0.1554741767
172,15,15,116.7500000000,40.8500020000,1.2370940427,70.880268,0.9399115307,1.7989248011,0.5892257966,1.6996892071,0.1554741767
173,16,12,116.4500000000,40.9500000000,1.6293960428,93.357516,0.9852992010,1.8375043208,-0.1076156160,1.8343502959,0.1554741767
174,16,13,116.5500000000,40.9500000000,1.5121966108,86.642484,0.9431846151,1.8017069229,0.1055190990,1.7986143432,0.1554741767
175,16,14,116.6499940000,40.9500000000,1.3965867365,80.018526,0.8665750342,1.7365887791,0.3010024917,1.7103035074,0.1554741767
176,17,14,116.6499940000,41.0500000000,1.4194351581,81.327644,0.9895048025,1.8410790821,0.2776050434,1.8200295674,0.1554741767
