cell_id,row,col,initial_layer,optimized_layer,layer_changed,initial_slot,optimized_slot,source_radius,source_theta_deg,optimized_center_theta_deg,angular_displacement_deg,theta_left_deg,theta_right_deg,angular_width_deg,r_inner,r_outer,original_degree,preserved_degree,lost_degree,new_degree
41,5,12,1,2,1,11,12,1.4802521079,265.469116,278.631979,13.162863,273.765413,283.498544,9.733131,1.2833333333,1.4250000000,4,4,0,0
42,5,13,2,2,0,12,13,1.5217917566,275.044431,287.026671,11.982240,283.498544,290.554798,7.056253,1.2833333333,1.4250000000,4,4,0,1
43,5,14,2,3,1,13,16,1.5479827910,284.257236,293.687105,9.429869,289.439856,297.934354,8.494498,1.4250000000,1.5666666667,4,4,0,1
44,5,15,3,3,0,16,17,1.6025709790,293.119701,307.427477,14.307776,297.934354,316.920600,18.986245,1.4250000000,1.5666666667,4,3,1,3
45,5,16,5,5,0,13,15,1.7779789455,300.701116,318.902061,18.200945,317.531451,320.272671,2.741220,1.7083333333,1.8500000000,2,1,1,2
46,6,2,5,5,0,2,2,1.8640403426,203.496222,208.451307,4.955085,204.500819,212.401795,7.900976,1.7083333333,1.8500000000,1,1,0,2
47,6,3,5,5,0,3,3,1.7883004370,205.856554,213.151795,7.295242,212.401795,213.901795,1.500000,1.7083333333,1.8500000000,4,3,1,0
48,6,4,4,4,0,4,3,1.7050872186,208.798939,213.007957,4.209018,212.257957,213.757957,1.500000,1.5666666667,1.7083333333,4,4,0,0
49,6,5,3,3,0,3,5,1.6245386995,211.298799,215.157999,3.859200,211.969994,218.346004,6.376010,1.4250000000,1.5666666667,4,4,0,1
50,6,6,2,2,0,3,4,1.5421722141,214.919785,214.291937,0.627849,209.817359,218.766515,8.949156,1.2833333333,1.4250000000,4,3,1,3
51,6,7,1,1,0,5,6,1.4717595201,219.733312,240.468995,20.735683,235.872031,245.065959,9.193928,1.1416666667,1.2833333333,4,1,3,4
52,6,8,1,2,1,6,7,1.4257490623,225.499892,238.587814,13.087922,235.297533,241.878095,6.580561,1.2833333333,1.4250000000,4,3,1,2
53,6,9,1,1,0,7,5,1.3943108559,232.656180,233.266795,0.610615,230.661559,235.872031,5.210472,1.1416666667,1.2833333333,4,2,2,3
54,6,10,1,1,0,8,7,1.4000208442,241.288182,252.740495,11.452313,245.065959,260.415030,15.349071,1.1416666667,1.2833333333,4,1,3,5
55,6,11,1,1,0,9,10,1.3883920694,251.357371,269.159469,17.802098,264.163865,274.155073,9.991208,1.1416666667,1.2833333333,4,3,1,1
56,6,12,1,1,0,10,11,1.3758811144,263.961768,279.150676,15.188907,274.155073,284.146279,9.991206,1.1416666667,1.2833333333,4,3,1,1
57,6,13,1,1,0,12,12,1.4017717962,276.495141,295.510286,19.015145,284.146279,306.874293,22.728015,1.1416666667,1.2833333333,4,4,0,1
58,6,14,1,2,1,13,14,1.4393949463,288.307503,298.530940,10.223437,290.554798,306.507082,15.952284,1.2833333333,1.4250000000,4,3,1,2
