edge_id,cell_id_a,cell_id_b,index_a,index_b,row_a,col_a,row_b,col_b,initial_layer_a,initial_layer_b,initial_layer_delta,source_radius_a,source_radius_b,source_theta_a_deg,source_theta_b_deg,source_angle_delta_deg,source_radius_delta,initial_edge_type
250,135,136,134,135,12,7,12,8,4,3,1,1.7288082331,1.6877275315,149.205428,143.929142,5.276286,0.0410807016,adjacent_layer
251,136,137,135,136,12,8,12,9,3,3,0,1.6877275315,1.6766713854,143.929142,136.876850,7.052293,0.0110561461,same_layer
252,137,138,136,137,12,9,12,10,3,2,1,1.6766713854,1.5801327138,136.876850,127.331729,9.545121,0.0965386716,adjacent_layer
253,137,149,136,148,12,9,13,9,3,5,2,1.6766713854,1.8121927904,136.876850,127.332171,9.544679,0.1355214050,long_layer_conflict
254,138,139,137,138,12,10,12,11,2,1,1,1.5801327138,1.4664727010,127.331729,114.588099,12.743630,0.1136600128,adjacent_layer
255,138,150,137,149,12,10,13,10,2,4,2,1.5801327138,1.7011447536,127.331729,118.579986,8.751743,0.1210120398,long_layer_conflict
256,139,140,138,139,12,11,12,12,1,0,1,1.4664727010,1.3307738213,114.588099,98.672721,15.915378,0.1356988796,adjacent_layer
257,139,151,138,150,12,11,13,11,1,3,2,1.4664727010,1.6528675377,114.588099,108.099758,6.488341,0.1863948367,long_layer_conflict
258,140,141,139,140,12,12,12,13,0,0,0,1.3307738213,1.2803597628,98.672721,81.327279,17.345441,0.0504140585,same_layer
259,140,152,139,151,12,12,13,12,0,1,1,1.3307738213,1.4926774161,98.672721,96.218016,2.454704,0.1619035947,adjacent_layer
260,141,142,140,141,12,13,12,14,0,1,1,1.2803597628,1.3906044943,81.327279,65.411901,15.915378,0.1102447315,adjacent_layer
261,141,153,140,152,12,13,13,13,0,1,1,1.2803597628,1.4334125936,81.327279,83.781984,2.454704,0.1530528307,adjacent_layer
262,142,143,141,142,12,14,12,15,1,1,0,1.3906044943,1.4859977872,65.411901,52.668271,12.743630,0.0953932929,same_layer
263,142,154,141,153,12,14,13,14,1,2,1,1.3906044943,1.5028654508,65.411901,71.900242,6.488341,0.1122609565,adjacent_layer
264,143,144,142,143,12,15,12,16,1,2,1,1.4859977872,1.5334172246,52.668271,43.123150,9.545121,0.0474194374,adjacent_layer
265,143,155,142,154,12,15,13,15,1,2,1,1.4859977872,1.5710920621,52.668271,61.420014,8.751743,0.0850942749,adjacent_layer
266,144,145,143,144,12,16,12,17,2,2,0,1.5334172246,1.5422044504,43.123150,36.070858,7.052293,0.0087872259,same_layer
267,144,156,143,155,12,16,13,16,2,3,1,1.5334172246,1.6804031118,43.123150,52.667829,9.544679,0.1469858872,adjacent_layer
268,145,146,144,145,12,17,12,18,2,2,0,1.5422044504,1.5897240702,36.070858,30.794572,5.276286,0.0475196198,same_layer
269,145,157,144,156,12,17,13,17,2,4,2,1.5422044504,1.7537608416,36.070858,45.561886,9.491028,0.2115563912,long_layer_conflict
